subject,csp_lda_accuracy,eegnet_accuracy,difference_eegnet_minus_csp_lda
A01,0.8194444444444444,0.8819444444444444,0.0625
A02,0.5972222222222222,0.4861111111111111,-0.1111111111111111
A03,0.8958333333333334,0.9583333333333334,0.0625
A04,0.5694444444444444,0.6458333333333334,0.07638888888888895
A05,0.6111111111111112,0.5,-0.11111111111111116
A06,0.7013888888888888,0.5486111111111112,-0.15277777777777768
A07,0.5138888888888888,0.5138888888888888,0.0
A08,0.9444444444444444,0.9583333333333334,0.01388888888888895
A09,0.9027777777777778,0.9166666666666666,0.01388888888888884
